987714878842,1.899
987714940524,1.859
987715002381,1.899
987715064862,1.879
987715127642,1.899
987715190570,1.939
987715253391,1.819
987715316253,1.899
987715379238,1.899
987715442058,1.899
987715504935,1.899
987715567818,1.899
987715631098,1.759
987715693556,1.819
987715756401,1.919
987715819346,1.899
987715882234,1.899
987715945074,1.859
987716008025,1.899
987716070962,1.799
987716133861,1.779
987716196764,1.879
987716259701,1.899
987716322614,1.779
987716385459,1.819
987716448506,1.899
987716511552,1.839
987716574061,1.779
987716636894,1.859
987716699791,1.899
987716762640,1.899
987716825499,1.779
987716888372,1.899
987716951262,1.779
987717014139,1.779
987717077021,1.859
987717139909,1.779
